step,fish,sharks
539,19924,11760
540,18965,11713
541,21291,11787
542,22237,11826
543,22812,11975
544,22402,11939
545,21672,11984
546,20562,12096
547,19724,12162
548,18588,12099
549,17572,12102
550,16820,11955
551,18953,12088
552,19851,11995
553,20638,12052
554,20222,12084
555,19714,12169
556,18800,12023
557,17876,12035
558,16848,12037
559,15907,12068
560,15140,11902
561,16955,12024
562,18019,11913
563,18716,11907
564,18173,11956
565,17611,11896
566,16751,11855
567,15862,11882
568,14886,11771
569,14135,11775
570,13491,11643
571,15168,11639
572,16110,11531
573,16692,11512
574,16373,11423
575,15798,11528
576,15024,11352
577,14321,11289
578,13525,11157
579,12784,11025
580,12122,10883
581,13598,10857
582,14485,10883
583,14857,10798
584,14650,10696
585,14275,10668
586,13471,10584
587,12986,10563
588,12121,10532
589,11477,10285
590,10901,10328
591,12081,10239
592,12745,10150
593,12909,10107
594,12658,10041
595,12330,9967
596,11648,9913
597,11238,9728
598,10554,9720
599,9912,9592
600,9416,9447
601,10387,9435
602,10959,9397
603,11051,9267
604,10900,9176
605,10692,9083
606,10217,8990
607,9721,8952
608,9202,8830
609,8716,8774
610,8313,8589
611,9171,8597
612,9839,8505
613,9884,8350
614,9768,8310
615,9690,8156
616,9090,8073
617,8843,8009
618,8411,7885
619,7991,7811
620,7685,7630
621,8748,7597
622,9479,7605
623,9842,7463
624,9863,7282
625,9802,7269
626,9593,7155
627,9288,7021
628,9087,6905
629,8693,6851
630,8505,6667
631,9708,6622
632,10785,6589
633,11133,6565
634,11344,6371
635,11277,6298
636,10880,6257
637,10726,6227
638,10405,6136
639,10117,6113
640,9823,6096
641,11230,6023
642,12557,5958
643,13037,5869
644,13237,5854
645,13197,5804
646,12831,5812
647,12555,5737
648,12080,5662
649,11772,5661
650,11551,5605
651,13379,5540
652,14931,5511
653,15631,5458
654,15793,5478
655,15713,5552
656,15402,5566
657,15073,5496
658,14519,5477
659,14328,5520
660,13983,5413
661,16212,5459
662,18013,5412
663,18582,5485
664,18838,5427
665,18702,5526
666,18285,5544
667,17958,5477
668,17348,5475
669,17036,5507
670,16532,5498
671,18839,5515
672,20654,5636
673,21513,5598
674,21679,5655
675,21580,5814
676,20984,5817
677,20515,5854
678,19636,5946
679,19074,6017
680,18480,5993
681,20986,6116
682,22809,6219
683,23832,6238
684,23909,6226
685,23744,6345
686,23166,6484
687,22607,6551
688,21768,6550
689,21095,6681
690,20534,6579
691,23051,6762
692,25050,6848
693,26008,6975
694,26108,6997
695,25786,7230
696,25143,7235
697,24394,7288
698,23542,7369
699,22665,7508
700,22024,7562
701,24331,7715
702,26271,7846
703,27405,7882
704,27393,8063
705,26948,8082
706,26026,8214
707,25318,8327
708,24329,8480
709,23263,8611
710,22395,8648
711,24497,8714
712,26357,8818
713,27316,8926
714,27297,9089
715,26900,9233
716,25751,9321
717,24919,9338
718,23840,9481
719,22810,9620
720,21867,9727
721,24096,9923
722,25822,10024
723,26503,10165
724,26387,10214
725,26055,10289
726,25009,10349
727,24044,10519
728,23134,10585
729,22144,10564
730,21102,10618
731,23273,10543
732,24655,10625
733,25407,10720
734,25339,10915
735,24828,11018
736,23781,11148
737,22843,11178
738,21716,11241
739,20785,11230
740,19725,11310
741,21756,11342
742,22831,11349
743,23565,11518
744,23331,11539
745,22978,11572
746,22097,11628
747,21314,11682
748,20108,11743
749,19086,11774
750,18100,11676
751,19934,11816
752,20865,11700
753,21589,11783
754,21388,11893
755,21102,11769
756,20279,11795
757,19344,11806
758,18300,11662
759,17300,11815
760,16477,11757
761,18356,11689
762,19088,11703
763,19401,11733
764,19332,11597
765,19033,11706
766,18216,11734
767,17426,11654
768,16534,11436
769,15686,11553
770,15084,11403
771,16598,11391
772,17334,11296
773,17549,11329
774,17330,11364
775,17193,11293
776,16491,11272
777,15750,11180
778,14984,11128
779,14153,11070
780,13601,10949
781,15087,10892
782,15607,10787
783,15693,10766
784,15419,10775
785,15168,10667
786,14416,10602
787,13921,10503
788,13098,10467
789,12394,10364
790,11729,10323
791,13228,10287
792,13630,10284
793,13753,10306
794,13575,10170
795,13303,10118
796,12645,10001
797,12037,9969
798,11399,9958
799,10726,9900
800,10181,9753
801,11643,9737
802,12081,9676
803,12236,9580
804,11926,9500
805,11713,9493
806,11127,9370
807,10776,9340
808,10033,9172
809,9478,9216
810,9030,9020
811,10404,8952
812,10987,8906
813,11311,8809
